source,target,weight,startYear,endYear
n12,n13,2,2012,2015
n12,n15,2,2012,2015
n12,n20,2,2012,2015
n15,n21,2,2012,2015
n17,n21,2,2012,2015
n20,n21,2,2012,2015
n15,n20,2,2012,2015
n13,n17,2,2012,2015
n28,n35,2,2012,2015
n28,n40,2,2012,2015
n31,n42,2,2012,2015
n32,n42,2,2012,2015
n33,n42,2,2012,2015
n35,n42,2,2012,2015
n40,n42,2,2012,2015
n31,n41,2,2012,2015
n32,n41,2,2012,2015
n33,n41,2,2012,2015
n35,n41,2,2012,2015
n40,n41,2,2012,2015
n29,n40,2,2012,2015
n31,n40,2,2012,2015
n32,n40,2,2012,2015
n33,n40,2,2012,2015
n35,n40,2,2012,2015
n36,n40,2,2012,2015
n37,n40,2,2012,2015
n38,n40,2,2012,2015
n31,n38,2,2012,2015
n32,n38,2,2012,2015
n33,n38,2,2012,2015
n35,n38,2,2012,2015
n31,n37,2,2012,2015
n32,n37,2,2012,2015
n33,n37,2,2012,2015
n35,n37,2,2012,2015
n31,n36,2,2012,2015
n32,n36,2,2012,2015
n33,n36,2,2012,2015
n35,n36,2,2012,2015
n29,n35,2,2012,2015
n31,n35,2,2012,2015
n32,n35,2,2012,2015
n33,n35,2,2012,2015
n43,n47,2,2012,2015
n44,n47,2,2012,2015
n46,n47,2,2012,2015
n54,n55,2,2012,2015
n48,n63,2,2012,2015
n63,n65,2,2012,2015
n48,n65,2,2012,2015
n80,n81,2,2012,2015
n81,n82,2,2012,2015
n88,n89,2,2012,2015
n88,n90,2,2012,2015
n89,n90,2,2012,2015
n101,n103,2,2012,2015
n103,n104,2,2012,2015
n102,n103,2,2012,2015
n57,n101,2,2012,2015
n120,n121,2,2012,2015
n88,n126,2,2012,2015
n130,n132,2,2012,2015
n83,n138,2,2012,2015
n83,n139,2,2012,2015
n84,n139,2,2012,2015
n138,n139,2,2012,2015
n84,n138,2,2012,2015
n140,n143,2,2012,2015
n50,n149,2,2012,2015
n149,n150,2,2012,2015
n48,n153,2,2012,2015
n43,n168,2,2012,2015
n46,n168,2,2012,2015
n44,n168,2,2012,2015
n173,n174,2,2012,2015
n173,n176,2,2012,2015
n173,n178,2,2012,2015
n174,n178,2,2012,2015
n176,n178,2,2012,2015
n174,n176,2,2012,2015
n101,n181,2,2012,2015
n153,n189,2,2012,2015
n88,n194,2,2012,2015
n88,n195,2,2012,2015
n194,n195,2,2012,2015
n123,n227,2,2012,2015
n228,n230,2,2012,2015
n229,n230,2,2012,2015
n236,n239,2,2012,2015
n237,n239,2,2012,2015
n238,n239,2,2012,2015
n236,n237,2,2012,2015
n254,n255,2,2012,2015
n123,n261,2,2012,2015
n140,n280,2,2012,2015
n283,n285,2,2012,2015
n9,n286,2,2012,2015
n9,n287,2,2012,2015
n10,n287,2,2012,2015
n286,n287,2,2012,2015
n10,n286,2,2012,2015
n123,n290,2,2012,2015
n291,n292,2,2012,2015
n90,n297,2,2012,2015
n307,n308,2,2012,2015
n314,n316,2,2012,2015
n90,n321,2,2012,2015
n90,n322,2,2012,2015
n90,n243,2,2012,2015
n340,n341,2,2012,2015
n11,n345,2,2012,2015
n165,n346,2,2012,2015
n163,n347,2,2012,2015
n158,n163,2,2012,2015
n158,n165,2,2012,2015
n90,n365,2,2012,2015
n363,n365,2,2012,2015
n366,n367,2,2012,2015
n366,n368,2,2012,2015
n367,n368,2,2012,2015
n191,n379,2,2012,2015
n343,n379,2,2012,2015
n191,n343,2,2012,2015
n343,n378,2,2012,2015
n191,n378,2,2012,2015
n191,n377,2,2012,2015
n114,n400,2,2012,2015
n9,n407,2,2012,2015
n9,n78,2,2012,2015
n10,n78,2,2012,2015
n78,n407,2,2012,2015
n10,n407,2,2012,2015
n28,n409,2,2012,2015
n28,n412,2,2012,2015
n409,n412,2,2012,2015
n410,n412,2,2012,2015
n409,n410,2,2012,2015
n97,n101,2,2012,2015
n347,n424,2,2012,2015
n143,n347,2,2012,2015
n348,n424,2,2012,2015
n143,n348,2,2012,2015
n90,n348,2,2012,2015
n163,n413,2,2012,2015
n63,n431,2,2012,2015
n431,n432,2,2012,2015
n140,n439,2,2012,2015
n463,n466,2,2012,2015
n464,n466,2,2012,2015
n465,n466,2,2012,2015
n463,n465,2,2012,2015
n464,n465,2,2012,2015
n463,n464,2,2012,2015
n371,n471,2,2012,2015
n376,n471,2,2012,2015
n375,n471,2,2012,2015
n372,n471,2,2012,2015
n487,n489,2,2012,2015
n488,n489,2,2012,2015
n496,n497,2,2012,2015
n496,n498,2,2012,2015
n496,n499,2,2012,2015
n496,n500,2,2012,2015
n355,n497,2,2012,2015
n355,n498,2,2012,2015
n355,n499,2,2012,2015
n355,n500,2,2012,2015
n497,n501,2,2012,2015
n498,n501,2,2012,2015
n499,n501,2,2012,2015
n500,n501,2,2012,2015
n497,n500,2,2012,2015
n498,n500,2,2012,2015
n499,n500,2,2012,2015
n497,n499,2,2012,2015
n498,n499,2,2012,2015
n497,n498,2,2012,2015
n503,n504,2,2012,2015
n503,n505,2,2012,2015
n503,n506,2,2012,2015
n503,n507,2,2012,2015
n504,n507,2,2012,2015
n505,n507,2,2012,2015
n506,n507,2,2012,2015
n504,n506,2,2012,2015
n505,n506,2,2012,2015
n504,n505,2,2012,2015
n163,n512,2,2012,2015
n164,n512,2,2012,2015
n118,n377,2,2012,2015
n526,n527,2,2012,2015
n526,n528,2,2012,2015
n526,n531,2,2012,2015
n526,n547,2,2012,2015
n527,n547,2,2012,2015
n528,n547,2,2012,2015
n531,n547,2,2012,2015
n527,n531,2,2012,2015
n528,n531,2,2012,2015
n527,n528,2,2012,2015
n28,n570,2,2012,2015
n32,n570,2,2012,2015
n29,n570,2,2012,2015
n33,n570,2,2012,2015
n31,n570,2,2012,2015
n574,n575,2,2012,2015
n579,n581,2,2012,2015
n580,n581,2,2012,2015
n104,n113,2,2012,2015
n104,n125,2,2012,2015
n595,n596,2,2012,2015
n12,n598,2,2012,2015
n21,n598,2,2012,2015
n130,n347,2,2012,2015
n347,n433,2,2012,2015
n347,n432,2,2012,2015
n347,n613,2,2012,2015
n63,n613,2,2012,2015
n11,n635,2,2012,2015
n644,n645,2,2012,2015
n644,n647,2,2012,2015
n644,n648,2,2012,2015
n645,n648,2,2012,2015
n647,n648,2,2012,2015
n645,n647,2,2012,2015
n649,n650,2,2012,2015
n163,n322,2,2012,2015
n90,n163,2,2012,2015
n90,n165,2,2012,2015
n165,n322,2,2012,2015
n140,n669,2,2012,2015
n347,n716,2,2012,2015
n347,n717,2,2012,2015
n655,n716,2,2012,2015
n655,n717,2,2012,2015
n716,n717,2,2012,2015
n101,n723,2,2012,2015
n377,n722,2,2012,2015
n377,n723,2,2012,2015
n721,n723,2,2012,2015
n722,n723,2,2012,2015
n721,n722,2,2012,2015
n191,n728,2,2012,2015
n101,n728,2,2012,2015
n165,n733,2,2012,2015
n163,n733,2,2012,2015
n163,n747,2,2012,2015
n748,n749,2,2012,2015
n748,n750,2,2012,2015
n748,n751,2,2012,2015
n749,n751,2,2012,2015
n750,n751,2,2012,2015
n749,n750,2,2012,2015
n163,n753,2,2012,2015
n217,n753,2,2012,2015
n790,n791,2,2012,2015
n123,n790,2,2012,2015
n123,n791,2,2012,2015
n805,n806,2,2012,2015
n805,n807,2,2012,2015
n805,n808,2,2012,2015
n806,n808,2,2012,2015
n807,n808,2,2012,2015
n806,n807,2,2012,2015
n90,n813,2,2012,2015
n90,n754,2,2012,2015
n28,n835,2,2012,2015
n638,n835,2,2012,2015
n114,n854,2,2012,2015
n113,n854,2,2012,2015
n90,n855,2,2012,2015
n685,n856,2,2012,2015
n101,n856,2,2012,2015
n695,n856,2,2012,2015
n694,n856,2,2012,2015
n693,n856,2,2012,2015
n692,n856,2,2012,2015
n343,n856,2,2012,2015
n691,n856,2,2012,2015
n690,n856,2,2012,2015
n689,n856,2,2012,2015
n377,n856,2,2012,2015
n688,n856,2,2012,2015
n687,n856,2,2012,2015
n686,n856,2,2012,2015
n101,n889,2,2012,2015
n578,n889,2,2012,2015
n576,n889,2,2012,2015
n48,n347,2,2012,2015
n119,n894,2,2012,2015
n943,n944,2,2012,2015
n28,n950,2,2012,2015
n28,n951,2,2012,2015
n28,n952,2,2012,2015
n28,n953,2,2012,2015
n28,n954,2,2012,2015
n566,n950,2,2012,2015
n566,n951,2,2012,2015
n566,n952,2,2012,2015
n566,n953,2,2012,2015
n566,n954,2,2012,2015
n42,n950,2,2012,2015
n42,n951,2,2012,2015
n42,n952,2,2012,2015
n42,n953,2,2012,2015
n42,n954,2,2012,2015
n41,n950,2,2012,2015
n41,n951,2,2012,2015
n41,n952,2,2012,2015
n41,n953,2,2012,2015
n41,n954,2,2012,2015
n38,n950,2,2012,2015
n38,n951,2,2012,2015
n38,n952,2,2012,2015
n38,n953,2,2012,2015
n38,n954,2,2012,2015
n37,n950,2,2012,2015
n37,n951,2,2012,2015
n37,n952,2,2012,2015
n37,n953,2,2012,2015
n37,n954,2,2012,2015
n571,n950,2,2012,2015
n571,n951,2,2012,2015
n571,n952,2,2012,2015
n571,n953,2,2012,2015
n571,n954,2,2012,2015
n29,n954,2,2012,2015
n950,n954,2,2012,2015
n568,n954,2,2012,2015
n951,n954,2,2012,2015
n36,n954,2,2012,2015
n952,n954,2,2012,2015
n953,n954,2,2012,2015
n29,n953,2,2012,2015
n950,n953,2,2012,2015
n568,n953,2,2012,2015
n951,n953,2,2012,2015
n36,n953,2,2012,2015
n952,n953,2,2012,2015
n29,n952,2,2012,2015
n950,n952,2,2012,2015
n568,n952,2,2012,2015
n951,n952,2,2012,2015
n36,n952,2,2012,2015
n36,n950,2,2012,2015
n36,n951,2,2012,2015
n29,n951,2,2012,2015
n950,n951,2,2012,2015
n568,n951,2,2012,2015
n568,n950,2,2012,2015
n29,n950,2,2012,2015
n140,n975,2,2012,2015
n985,n988,2,2012,2015
n143,n1001,2,2012,2015
n143,n1002,2,2012,2015
n1001,n1002,2,2012,2015
n424,n812,2,2012,2015
n48,n1070,2,2012,2015
n48,n1071,2,2012,2015
n48,n1072,2,2012,2015
n1070,n1072,2,2012,2015
n1071,n1072,2,2012,2015
n1070,n1071,2,2012,2015
n12,n17,3,2012,2015
n28,n31,3,2012,2015
n28,n33,3,2012,2015
n29,n33,3,2012,2015
n31,n33,3,2012,2015
n32,n33,3,2012,2015
n31,n32,3,2012,2015
n29,n31,3,2012,2015
n43,n44,3,2012,2015
n43,n46,3,2012,2015
n44,n46,3,2012,2015
n80,n82,3,2012,2015
n83,n84,3,2012,2015
n94,n97,3,2012,2015
n88,n100,3,2012,2015
n114,n115,3,2012,2015
n119,n120,3,2012,2015
n101,n125,3,2012,2015
n101,n113,3,2012,2015
n163,n164,3,2012,2015
n164,n165,3,2012,2015
n54,n181,3,2012,2015
n54,n101,3,2012,2015
n123,n210,3,2012,2015
n163,n217,3,2012,2015
n165,n347,3,2012,2015
n371,n372,3,2012,2015
n371,n375,3,2012,2015
n371,n376,3,2012,2015
n372,n376,3,2012,2015
n375,n376,3,2012,2015
n372,n375,3,2012,2015
n101,n378,3,2012,2015
n101,n379,3,2012,2015
n377,n379,3,2012,2015
n378,n379,3,2012,2015
n377,n378,3,2012,2015
n28,n410,3,2012,2015
n94,n101,3,2012,2015
n90,n347,3,2012,2015
n143,n424,3,2012,2015
n63,n433,3,2012,2015
n63,n130,3,2012,2015
n130,n432,3,2012,2015
n130,n433,3,2012,2015
n432,n433,3,2012,2015
n487,n488,3,2012,2015
n496,n501,3,2012,2015
n355,n496,3,2012,2015
n355,n501,3,2012,2015
n28,n568,3,2012,2015
n28,n571,3,2012,2015
n42,n568,3,2012,2015
n42,n571,3,2012,2015
n41,n568,3,2012,2015
n41,n571,3,2012,2015
n38,n566,3,2012,2015
n38,n568,3,2012,2015
n38,n571,3,2012,2015
n29,n571,3,2012,2015
n566,n571,3,2012,2015
n568,n571,3,2012,2015
n37,n571,3,2012,2015
n36,n571,3,2012,2015
n36,n568,3,2012,2015
n37,n566,3,2012,2015
n37,n568,3,2012,2015
n29,n568,3,2012,2015
n566,n568,3,2012,2015
n101,n576,3,2012,2015
n101,n578,3,2012,2015
n576,n578,3,2012,2015
n579,n580,3,2012,2015
n63,n347,3,2012,2015
n28,n638,3,2012,2015
n347,n655,3,2012,2015
n685,n686,3,2012,2015
n685,n687,3,2012,2015
n685,n688,3,2012,2015
n377,n685,3,2012,2015
n685,n689,3,2012,2015
n685,n690,3,2012,2015
n685,n691,3,2012,2015
n343,n685,3,2012,2015
n685,n692,3,2012,2015
n685,n693,3,2012,2015
n685,n694,3,2012,2015
n685,n695,3,2012,2015
n101,n685,3,2012,2015
n101,n686,3,2012,2015
n101,n687,3,2012,2015
n101,n688,3,2012,2015
n101,n689,3,2012,2015
n101,n690,3,2012,2015
n101,n691,3,2012,2015
n101,n692,3,2012,2015
n101,n693,3,2012,2015
n101,n694,3,2012,2015
n101,n695,3,2012,2015
n686,n695,3,2012,2015
n687,n695,3,2012,2015
n688,n695,3,2012,2015
n377,n695,3,2012,2015
n689,n695,3,2012,2015
n690,n695,3,2012,2015
n691,n695,3,2012,2015
n343,n695,3,2012,2015
n692,n695,3,2012,2015
n693,n695,3,2012,2015
n694,n695,3,2012,2015
n686,n694,3,2012,2015
n687,n694,3,2012,2015
n688,n694,3,2012,2015
n377,n694,3,2012,2015
n689,n694,3,2012,2015
n690,n694,3,2012,2015
n691,n694,3,2012,2015
n343,n694,3,2012,2015
n692,n694,3,2012,2015
n693,n694,3,2012,2015
n686,n693,3,2012,2015
n687,n693,3,2012,2015
n688,n693,3,2012,2015
n377,n693,3,2012,2015
n689,n693,3,2012,2015
n690,n693,3,2012,2015
n691,n693,3,2012,2015
n343,n693,3,2012,2015
n692,n693,3,2012,2015
n686,n692,3,2012,2015
n687,n692,3,2012,2015
n688,n692,3,2012,2015
n377,n692,3,2012,2015
n689,n692,3,2012,2015
n690,n692,3,2012,2015
n691,n692,3,2012,2015
n343,n692,3,2012,2015
n343,n686,3,2012,2015
n343,n687,3,2012,2015
n343,n688,3,2012,2015
n343,n689,3,2012,2015
n343,n690,3,2012,2015
n343,n691,3,2012,2015
n686,n691,3,2012,2015
n687,n691,3,2012,2015
n688,n691,3,2012,2015
n377,n691,3,2012,2015
n689,n691,3,2012,2015
n690,n691,3,2012,2015
n686,n690,3,2012,2015
n687,n690,3,2012,2015
n688,n690,3,2012,2015
n377,n690,3,2012,2015
n689,n690,3,2012,2015
n686,n689,3,2012,2015
n687,n689,3,2012,2015
n688,n689,3,2012,2015
n377,n689,3,2012,2015
n377,n686,3,2012,2015
n377,n687,3,2012,2015
n377,n688,3,2012,2015
n686,n688,3,2012,2015
n687,n688,3,2012,2015
n686,n687,3,2012,2015
n101,n722,3,2012,2015
n88,n741,3,2012,2015
n512,n747,3,2012,2015
n90,n812,3,2012,2015
n797,n888,3,2012,2015
n120,n894,3,2012,2015
n102,n118,3,2012,2015
n9,n10,4,2012,2015
n12,n21,4,2012,2015
n28,n37,4,2012,2015
n28,n38,4,2012,2015
n37,n42,4,2012,2015
n38,n42,4,2012,2015
n37,n41,4,2012,2015
n38,n41,4,2012,2015
n29,n38,4,2012,2015
n36,n38,4,2012,2015
n37,n38,4,2012,2015
n29,n37,4,2012,2015
n36,n37,4,2012,2015
n29,n32,4,2012,2015
n113,n115,4,2012,2015
n104,n118,4,2012,2015
n113,n125,4,2012,2015
n156,n158,4,2012,2015
n48,n201,4,2012,2015
n228,n229,4,2012,2015
n347,n348,4,2012,2015
n90,n143,4,2012,2015
n63,n432,4,2012,2015
n165,n512,4,2012,2015
n28,n566,4,2012,2015
n42,n566,4,2012,2015
n41,n566,4,2012,2015
n36,n566,4,2012,2015
n29,n566,4,2012,2015
n165,n747,4,2012,2015
n200,n757,4,2012,2015
n710,n893,4,2012,2015
n88,n710,4,2012,2015
n88,n893,4,2012,2015
n28,n32,5,2012,2015
n28,n36,5,2012,2015
n28,n41,5,2012,2015
n28,n42,5,2012,2015
n29,n42,5,2012,2015
n36,n42,5,2012,2015
n41,n42,5,2012,2015
n29,n41,5,2012,2015
n36,n41,5,2012,2015
n29,n36,5,2012,2015
n102,n104,5,2012,2015
n113,n114,5,2012,2015
n157,n158,5,2012,2015
n50,n160,5,2012,2015
n150,n160,5,2012,2015
n101,n191,5,2012,2015
n343,n377,5,2012,2015
n101,n721,5,2012,2015
n377,n721,5,2012,2015
n101,n102,6,2012,2015
n101,n118,6,2012,2015
n50,n150,6,2012,2015
n156,n157,6,2012,2015
n28,n29,7,2012,2015
n101,n343,7,2012,2015
n90,n424,7,2012,2015
n163,n165,8,2012,2015
n90,n363,8,2012,2015
n101,n104,9,2012,2015
n72,n73,12,2012,2015
n101,n377,13,2012,2015
