id,name,cited,minYear,maxYear,numWorks,startYear,endYear
n204,"Makhmutova, A. A.",0,2005,2005,2,2004,2007
n205,"Gafurov, R. G.",0,2005,2005,2,2004,2007
n192,"Caetano, Fh",1,2005,2006,2,2004,2007
n193,"Do Amaral, Jb",1,2005,2006,2,2004,2007
n459,"Fujihara, Ricardo T.",1,2007,2007,2,2004,2007
n153,"Ichinose, K",5,2004,2007,2,2004,2007
n443,"Bueno Guerra, Marcelo Braga",5,2007,2007,2,2004,2007
n148,"Souza-silva, Alan",6,2004,2007,2,2004,2007
n432,"Verza, Sandra S.",6,2007,2007,3,2004,2007
n365,"Hart, Adam G.",7,2006,2006,2,2004,2007
n366,"Brown, Mjf",7,2006,2006,2,2004,2007
n367,"Bot, Anm",7,2006,2006,2,2004,2007
n140,"De Matos, Carlos Alberto O.",10,2004,2007,3,2004,2007
n165,"Penaflor, Mfgv",10,2005,2006,2,2004,2007
n249,"Lima, E. R.",11,2005,2006,2,2004,2007
n407,"Schaefer, Carlos Ernesto G. R.",11,2007,2007,2,2004,2007
n418,"Pretto, Denis R.",11,2007,2007,2,2004,2007
n135,"Fernandes, G. Wilson",12,2004,2006,2,2004,2007
n136,"Viana, L. R.",12,2004,2006,2,2004,2007
n137,"Santos, J. C.",12,2004,2006,2,2004,2007
n408,"Schoereder, Jose H.",12,2007,2007,3,2004,2007
n166,"Godoy, Mp",13,2005,2005,2,2004,2007
n175,"Garcia, Marise Grecca",14,2005,2006,2,2004,2007
n176,"Verza, Ss",14,2005,2006,2,2004,2007
n123,"Sendova-franks, Ana B.",15,2004,2007,2,2004,2007
n250,"Guedes, R. N. C.",16,2005,2006,2,2004,2007
n180,"Godoy, Mfp",17,2005,2005,2,2004,2007
n251,"Ribeiro, M. M. R.",17,2005,2006,3,2004,2007
n394,"Nagamoto, Nilson Satoru",17,2006,2007,3,2004,2007
n134,"De Matos, Cao",18,2004,2006,3,2004,2007
n402,"Engels, W.",18,2007,2007,2,2004,2007
n403,"Rabeling, Christian",18,2007,2007,2,2004,2007
n152,"Marinho, Cgs",19,2004,2006,3,2004,2007
n194,"Verhaagh, M.",19,2005,2007,3,2004,2007
n171,"Oliveira, Cg",20,2005,2005,2,2004,2007
n186,"Sousa-souto, Leandro",20,2005,2007,6,2004,2007
n101,"Vasquez, Rodrigo A.",22,2004,2007,2,2004,2007
n102,"Torres-contreras, Hugo",22,2004,2007,2,2004,2007
n245,"Rodrigues, Andre",22,2005,2006,2,2004,2007
