source,target,weight,startYear,endYear
n4,n6,2,2008,2011
n18,n19,2,2008,2011
n32,n33,2,2008,2011
n31,n32,2,2008,2011
n50,n51,2,2008,2011
n52,n53,2,2008,2011
n11,n53,2,2008,2011
n19,n55,2,2008,2011
n54,n55,2,2008,2011
n7,n55,2,2008,2011
n85,n86,2,2008,2011
n29,n110,2,2008,2011
n116,n117,2,2008,2011
n128,n129,2,2008,2011
n129,n130,2,2008,2011
n153,n155,2,2008,2011
n120,n155,2,2008,2011
n154,n155,2,2008,2011
n153,n154,2,2008,2011
n120,n154,2,2008,2011
n120,n153,2,2008,2011
n160,n163,2,2008,2011
n161,n163,2,2008,2011
n176,n178,2,2008,2011
n181,n183,2,2008,2011
n182,n183,2,2008,2011
n184,n185,2,2008,2011
n160,n196,2,2008,2011
n217,n219,2,2008,2011
n182,n217,2,2008,2011
n249,n252,2,2008,2011
n256,n260,2,2008,2011
n257,n260,2,2008,2011
n52,n263,2,2008,2011
n8,n54,2,2008,2011
n249,n266,2,2008,2011
n265,n266,2,2008,2011
n272,n274,2,2008,2011
n164,n280,2,2008,2011
n164,n281,2,2008,2011
n164,n282,2,2008,2011
n164,n283,2,2008,2011
n280,n283,2,2008,2011
n172,n283,2,2008,2011
n281,n283,2,2008,2011
n282,n283,2,2008,2011
n167,n283,2,2008,2011
n167,n280,2,2008,2011
n167,n281,2,2008,2011
n167,n282,2,2008,2011
n280,n282,2,2008,2011
n172,n282,2,2008,2011
n281,n282,2,2008,2011
n280,n281,2,2008,2011
n172,n281,2,2008,2011
n172,n280,2,2008,2011
n291,n293,2,2008,2011
n292,n293,2,2008,2011
n25,n293,2,2008,2011
n11,n297,2,2008,2011
n11,n242,2,2008,2011
n310,n311,2,2008,2011
n310,n312,2,2008,2011
n133,n311,2,2008,2011
n133,n312,2,2008,2011
n131,n312,2,2008,2011
n8,n330,2,2008,2011
n330,n332,2,2008,2011
n350,n351,2,2008,2011
n350,n352,2,2008,2011
n351,n352,2,2008,2011
n354,n355,2,2008,2011
n55,n354,2,2008,2011
n353,n354,2,2008,2011
n94,n361,2,2008,2011
n361,n362,2,2008,2011
n361,n363,2,2008,2011
n179,n361,2,2008,2011
n179,n362,2,2008,2011
n179,n363,2,2008,2011
n94,n363,2,2008,2011
n362,n363,2,2008,2011
n94,n362,2,2008,2011
n157,n364,2,2008,2011
n370,n371,2,2008,2011
n26,n385,2,2008,2011
n25,n385,2,2008,2011
n160,n388,2,2008,2011
n389,n390,2,2008,2011
n181,n394,2,2008,2011
n55,n393,2,2008,2011
n181,n355,2,2008,2011
n181,n353,2,2008,2011
n32,n401,2,2008,2011
n133,n402,2,2008,2011
n73,n402,2,2008,2011
n73,n133,2,2008,2011
n8,n407,2,2008,2011
n8,n408,2,2008,2011
n404,n408,2,2008,2011
n405,n408,2,2008,2011
n404,n407,2,2008,2011
n405,n407,2,2008,2011
n257,n263,2,2008,2011
n8,n44,2,2008,2011
n8,n43,2,2008,2011
n22,n450,2,2008,2011
n242,n455,2,2008,2011
n453,n455,2,2008,2011
n365,n455,2,2008,2011
n365,n453,2,2008,2011
n242,n453,2,2008,2011
n12,n461,2,2008,2011
n51,n464,2,2008,2011
n54,n182,2,2008,2011
n19,n182,2,2008,2011
n54,n484,2,2008,2011
n54,n487,2,2008,2011
n54,n302,2,2008,2011
n54,n308,2,2008,2011
n157,n484,2,2008,2011
n157,n487,2,2008,2011
n308,n484,2,2008,2011
n308,n487,2,2008,2011
n302,n484,2,2008,2011
n302,n487,2,2008,2011
n484,n487,2,2008,2011
n7,n405,2,2008,2011
n332,n405,2,2008,2011
n507,n508,2,2008,2011
n157,n507,2,2008,2011
n157,n508,2,2008,2011
n160,n540,2,2008,2011
n121,n559,2,2008,2011
n121,n560,2,2008,2011
n559,n560,2,2008,2011
n174,n393,2,2008,2011
n598,n599,2,2008,2011
n605,n606,2,2008,2011
n589,n621,2,2008,2011
n589,n622,2,2008,2011
n621,n622,2,2008,2011
n182,n622,2,2008,2011
n182,n621,2,2008,2011
n182,n644,2,2008,2011
n51,n665,2,2008,2011
n51,n666,2,2008,2011
n665,n666,2,2008,2011
n680,n681,2,2008,2011
n240,n683,2,2008,2011
n240,n684,2,2008,2011
n242,n684,2,2008,2011
n683,n684,2,2008,2011
n242,n683,2,2008,2011
n11,n712,2,2008,2011
n11,n713,2,2008,2011
n11,n714,2,2008,2011
n11,n716,2,2008,2011
n11,n717,2,2008,2011
n11,n718,2,2008,2011
n11,n719,2,2008,2011
n11,n721,2,2008,2011
n11,n725,2,2008,2011
n711,n725,2,2008,2011
n712,n725,2,2008,2011
n713,n725,2,2008,2011
n714,n725,2,2008,2011
n715,n725,2,2008,2011
n716,n725,2,2008,2011
n717,n725,2,2008,2011
n718,n725,2,2008,2011
n719,n725,2,2008,2011
n720,n725,2,2008,2011
n721,n725,2,2008,2011
n722,n725,2,2008,2011
n723,n725,2,2008,2011
n724,n725,2,2008,2011
n712,n724,2,2008,2011
n713,n724,2,2008,2011
n714,n724,2,2008,2011
n716,n724,2,2008,2011
n717,n724,2,2008,2011
n718,n724,2,2008,2011
n719,n724,2,2008,2011
n721,n724,2,2008,2011
n712,n723,2,2008,2011
n713,n723,2,2008,2011
n714,n723,2,2008,2011
n716,n723,2,2008,2011
n717,n723,2,2008,2011
n718,n723,2,2008,2011
n719,n723,2,2008,2011
n721,n723,2,2008,2011
n712,n722,2,2008,2011
n713,n722,2,2008,2011
n714,n722,2,2008,2011
n716,n722,2,2008,2011
n717,n722,2,2008,2011
n718,n722,2,2008,2011
n719,n722,2,2008,2011
n721,n722,2,2008,2011
n711,n721,2,2008,2011
n712,n721,2,2008,2011
n713,n721,2,2008,2011
n714,n721,2,2008,2011
n715,n721,2,2008,2011
n716,n721,2,2008,2011
n717,n721,2,2008,2011
n718,n721,2,2008,2011
n719,n721,2,2008,2011
n720,n721,2,2008,2011
n712,n720,2,2008,2011
n713,n720,2,2008,2011
n714,n720,2,2008,2011
n716,n720,2,2008,2011
n717,n720,2,2008,2011
n718,n720,2,2008,2011
n719,n720,2,2008,2011
n711,n719,2,2008,2011
n712,n719,2,2008,2011
n713,n719,2,2008,2011
n714,n719,2,2008,2011
n715,n719,2,2008,2011
n716,n719,2,2008,2011
n717,n719,2,2008,2011
n718,n719,2,2008,2011
n711,n718,2,2008,2011
n712,n718,2,2008,2011
n713,n718,2,2008,2011
n714,n718,2,2008,2011
n715,n718,2,2008,2011
n716,n718,2,2008,2011
n717,n718,2,2008,2011
n711,n717,2,2008,2011
n712,n717,2,2008,2011
n713,n717,2,2008,2011
n714,n717,2,2008,2011
n715,n717,2,2008,2011
n716,n717,2,2008,2011
n711,n716,2,2008,2011
n712,n716,2,2008,2011
n713,n716,2,2008,2011
n714,n716,2,2008,2011
n715,n716,2,2008,2011
n712,n715,2,2008,2011
n713,n715,2,2008,2011
n714,n715,2,2008,2011
n711,n714,2,2008,2011
n712,n714,2,2008,2011
n713,n714,2,2008,2011
n711,n713,2,2008,2011
n712,n713,2,2008,2011
n711,n712,2,2008,2011
