id,name,cited,minYear,maxYear,numWorks,startYear,endYear
n307,"Leal, I. R.",0,2012,2015,2,2012,2015
n308,"Wirth, R.",0,2012,2015,2,2012,2015
n314,"Bailez, O.",0,2012,2012,2,2012,2015
n316,"Viana-bailez, A. M.",0,2012,2012,2,2012,2015
n321,"Cardoso, Sandra R. S.",0,2012,2014,2,2012,2015
n463,"Lacerda, Fabricia G.",0,2013,2014,2,2012,2015
n465,"Desouza, Og",0,2013,2014,2,2012,2015
n466,"De Souza, Lucas M.",0,2013,2014,2,2012,2015
n471,"Cardona, Leidy V.",0,2013,2013,2,2012,2015
n487,"Colla Ruvolo-takasusuki, Maria Claudia",0,2013,2014,3,2012,2015
n488,"Cantagalli, Liriana Belizario",0,2013,2014,3,2012,2015
n489,"Mangolin, Claudete Aparecida",0,2013,2013,2,2012,2015
n503,"Pompolo, Silvia Das Gracas",0,2013,2013,2,2012,2015
n504,"Campos Barros, Luisa Antonia",0,2013,2013,2,2012,2015
n505,"Alves Cardoso De Aguiar, Hilton Jeferson",0,2013,2013,2,2012,2015
n506,"Ferreira Mariano, Clea Dos Santos",0,2013,2013,2,2012,2015
n507,"Charles Delabie, Jacques Hubert",0,2013,2015,3,2012,2015
n812,"Travaglini, R. V.",0,2014,2015,3,2012,2015
n813,"Silva, Edypo Jacob",0,2014,2015,2,2012,2015
n835,"Pupo, M. T.",0,2014,2015,2,2012,2015
n854,"Rojas, Enith I.",0,2014,2015,2,2012,2015
n855,"Moreira, S.",0,2014,2015,2,2012,2015
n856,"Cao, Hong Zhi",0,2014,2014,2,2012,2015
n888,"Serrao, Jose E.",0,2015,2015,3,2012,2015
n889,"Sapountzis, Panagiotis",0,2015,2015,2,2012,2015
n893,"Falibene, Agustina",0,2015,2015,4,2012,2015
n894,"Rodriguez, Jonathan",0,2015,2015,3,2012,2015
n985,"Buffa, Liliana M.",0,2015,2015,2,2012,2015
n988,"Valladares, Graciela",0,2015,2015,2,2012,2015
n1001,"Sales, T. A.",0,2015,2015,2,2012,2015
n1002,"Hastenreiter, I. N.",0,2015,2015,2,2012,2015
n1070,"Kellner, Katrin",0,2015,2015,2,2012,2015
n1071,"Ishak, Heather D.",0,2015,2015,2,2012,2015
n1072,"Linksvayer, Timothy A.",0,2015,2015,2,2012,2015
n291,"Guimaraes, Juliane Fernandes",1,2012,2012,2,2012,2015
n292,"Alves Perin, Marco Aurelio",1,2012,2012,2,2012,2015
n424,"Camargo, Roberto S.",1,2013,2015,7,2012,2015
n431,"Jesovnik, A.",1,2013,2015,2,2012,2015
n439,"Chappell, Paula",1,2013,2014,2,2012,2015
n790,"Satti, Patricia",1,2014,2014,2,2012,2015
n791,"Fernandez, Anahi",1,2014,2014,2,2012,2015
n797,"Zanuncio, Jose Cola",1,2014,2015,4,2012,2015
n805,"Srygley, Robert B.",1,2014,2014,2,2012,2015
n806,"Riveros, Andre J.",1,2014,2014,2,2012,2015
n807,"Esquivel, Darci M. S.",1,2014,2014,2,2012,2015
n808,"Wajnberg, Eliane",1,2014,2014,2,2012,2015
n950,"Khadempour, Lily",1,2015,2015,2,2012,2015
n951,"Mcdonald, Bradon R.",1,2015,2015,2,2012,2015
n952,"Wu, Si",1,2015,2015,2,2012,2015
n953,"Moore, Ronald J.",1,2015,2015,2,2012,2015
n954,"Orton, Daniel J.",1,2015,2015,2,2012,2015
n975,"Tranter, Christopher",1,2015,2015,2,2012,2015
n261,"Chinchilla, Federico",2,2012,2015,2,2012,2015
n283,"Jensen, Martin",2,2012,2012,2,2012,2015
n285,"Grevsen, Kai",2,2012,2012,2,2012,2015
n286,"Grueschow, Sabine",2,2012,2014,2,2012,2015
n287,"Goss, Rebecca J. M.",2,2012,2014,2,2012,2015
n290,"Ines Pirk, Gabriela",2,2012,2013,2,2012,2015
n407,"Barke, Joerg",2,2013,2014,2,2012,2015
n728,"Tunlid, Anders",2,2014,2014,2,2012,2015
n741,"Roemer, Daniela",2,2014,2015,3,2012,2015
n753,"Duarte, A. P. M.",2,2014,2014,2,2012,2015
