title,subject
Snakehead [sound recording] / Peter May.,"women pathologists--fiction.|chinese--texas--death--fiction.|illegal aliens--fiction.|campbell, margaret (fictitious character)--fiction.|li, yan (fictitious character)--fiction."
Globalization and sex work policy : service agency responses in the U.S. and Norway / by Kimberlee Grace Waggoner.,prostitution--united states.|prostitution--norway.|human trafficking--united states.|human trafficking--norway.|illegal aliens--united states.|illegal aliens--norway.
"Implementation of the Immigration Reform and Control Act of 1986 (P.L. 99-603) [microform] : hearing before the Subcommittee on Immigration, Refugees, and International Law of the Committee on the Judiciary, House of Representatives, Ninety-ninth Congress, second session, on implementation of the Immigration Reform and Control Act of 1986 (P.L. 99-603), Phase 1, Preparation, December 17, 1986.",emigration and immigration law--united states.|illegal aliens--united states.|foreign workers--united states.|united states--emigration and immigration.
"Do amnesty programs encourage illegal immigration? [electronic resource] : evidence from IRCA / Pia M. Orrenius, Madeline Zavodny.",illegal aliens--law and legislation--united states.|amnesty--economic aspects--united states.
Het Kind in het immigratierecht / redactie: G.G. Lodder &amp; P.R. Rodrigues.,emigration and immigration law--netherlands--congresses.|children of illegal aliens--netherlands--congresses.
"Magnet school assistance/impact aid programs [electronic resource] : hearings before the Subcommittee on Education, Arts, and Humanities of the Committee on Labor and Human Resources, United States Senate, One Hundredth Congress, first session on ... July 30, 1987, Washington, DC, August 26, 1987, Farmington, UT.",federal aid to education--united states.|magnet schools--united states.|magnet schools--utah.
"Kites [videorecording] / a Reliance Big Pictures release ; Filmkraft Productions ; a Rakesh Roshan film ; written by Robin Bhatt, Akash Khurana &amp; Anurag Basu ; story &amp; produced by Rakesh Roshan ; directed by Anurag Basu.",man-woman relationships--drama.|jealousy--drama.|illegal aliens--nevada--las vegas--drama.
"Stop deportations! : defend workers without documents! : build the unity of all workers! / National Labor Commission and National Chicano Commission, Communist Party, USA = ¡No mas deportaciones! : ¡defienda a los trabajadores sin documentos! : ¡contribuja a la unidad de todos los trabajadores! / la Comision nacional del trabajo y la Comision nacional chicana, Partido Communista de Eu.",foreign workers--government policy--united states.|illegal aliens--government policy--united states.|deportation--government policy--united states.
"The impact of illegal immigration on Minnesota : costs and population trends / prepared by the Office of Strategic Planning &amp; Results Management, Minnesota Department of Administration.",illegal aliens--services for--minnesota--costs.|illegal aliens--minnesota.|emigration and immigration.
The nick of time / Francis King.,illegal aliens--england--london--fiction.|egyptians--england--london--fiction.|gay men--england--london--fiction.
"El viaje de Teo [videorecording] / producción, Catalina Pereda ; guion, produccion, direccion y montaje, Nicolas Pereda.",fathers and sons--mexico--drama.|illegal aliens--drama.|foreign films--mexico.
"Rapport sur l'expulsion, le 18 octobre 1986, de 101 Maliens [microform] / [Yves Baudelot].",malians--france.|deportation--france.|illegal aliens--france.|france--emigration and immigration--government policy.
"Illicit [electronic resource] : how smugglers, traffickers and copycats are hijacking the global economy / Moisés Naím.",transnational crime.|drug traffic.|illegal arms transfers.|intellectual property infringement.|illegal aliens.|money laundering.|crime and globalization.|globalization--economic aspects.
