node,title,subject
3783,911,california|coalit|immigr|reform|period|unit|state|emigr|immigr|period|illeg|alien|unit|state|period
4012,12th annual advanced immigration law,emigr|immigr|law|unit|state|deport|unit|state|alien|unit|state|illeg|alien|unit|state|emigr|immigr|law|texa
1521,12th annual advanced immigration law course,emigr|immigr|law|unit|state|deport|unit|state|alien|unit|state|illeg|alien|unit|state|emigr|immigr|law|texa
3648,13th annual advanced immigration law,emigr|immigr|law|unit|state|deport|unit|state|alien|unit|state|illeg|alien|unit|state|emigr|immigr|law|texa
1268,18 wheels of justice,brown|ray|1944|undercov|oper|southwest|new|truck|driver|southwest|new|drug|traffic|southwest|new|illeg|alien|southwest|new
1883,1980 census counting illegal aliens hearing before the Subcommittee on Energy Nuclear Proliferation and Federal Services of the Committee on Governmental Affairs United States Senate Ninety-sixth Congress second session on S 2366To require adjustments in census population figures for aliens in the United States illegally so as to prevent distortions in the reapportionment of the House of Representatives the legislative and apportionment and districting of the states and the allocation of funds under federal assistance programs March 26 1980,unit|state|census|1980|illeg|alien|unit|state
1493,1986 immigration and nationality acts Immigration Reform and Control Act of 1986 Immigration Marriage Fraud Act of 1986 Immigration and Nationality Act Amendments of 1986 special update,emigr|immigr|law|unit|state|illeg|alien|unit|state|foreign|worker|legal|status|law|unit|state
1461,1988 legalization handbook how to obtain lawful residence under the new Immigration laws,illeg|alien|unit|state|emigr|immigr|law|unit|state|foreign|worker|unit|state
4400,1989 legalization handbook how to obtain lawful residence under the new immigration laws,illeg|alien|unit|state|emigr|immigr|law|unit|state|foreign|worker|unit|state
2751,1990 census procedures and demographic impact on the state of Michigan hearing before the Committee on Post Office and Civil Service House of Representatives One Hundredth Congress second session June 24 1988,michigan|census|1990|methodolog|illeg|alien|michigan|census|undercount|michigan|unit|state|census|21st|1990|unit|state|census|1990
3639,2 perdidos numa noite suja,brazilian|unit|state|drama|man|woman|relationship|new|york|state|new|york|drama|illeg|alien|new|york|state|new|york|drama
1783,2003 year book on illegal migration human smuggling and trafficking in Central and Eastern Europe a survey and analysis of border management and border apprehension data from 19 states,europ|eastern|emigr|immigr|europ|eastern|emigr|immigr|statist|soviet|republ|emigr|immigr|soviet|republ|emigr|immigr|statist|illeg|alien|europ|eastern|illeg|alien|soviet|republ|human|smuggl|europ|eastern|human|smuggl|soviet|republ|human|traffick|europ|eastern|human|traffick|soviet|republ
3661,2006 emigrantes mexicanos movimientos y elecciones transterritoriales,transnat|vote|mexico|transnat|vote|unit|state|mexican|suffrag|foreign|countri|mexico|polit|govern|2000|elect|mexico|mexico|emigr|immigr|polit|aspect|mexican|unit|state|polit|govern|illeg|alien|polit|activ|unit|state
5444,2007 AILA Worksite Enforcement CLE Conference workbook the new era of worksite enforcement protections for employers and their employees,illeg|alien|employ|unit|state|congress|immigr|enforc|unit|state|congress|foreign|worker|certif|govern|polici|unit|state|congress|foreign|worker|legal|status|law|unit|state|congress
1871,2007 national survey of Latinos as illegal immigration issue heats up Hispanics feel a chill,illeg|alien|unit|state|popul|hispan|american|attitud|hispan|american|polit|govern|hispan|american|social|condit|hispan|american|cultur|assimil|hispan|american|ethnic|ident
1482,2008 AILA Worksite Enforcement CLE Conference workbook cutting-edge issues in worksite compliance and enforcement developments trends and practice guidance,illeg|alien|employ|unit|state|congress|foreign|worker|certif|govern|polici|unit|state|congress|foreign|worker|legal|status|law|unit|state|congress|immigr|enforc|unit|state|congress
