id,label,references,numberofsubjects,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
n3,Illegal Aliens--united States--periodicals.,14,14,9,25.0,6.0,0.3123418611189204,0.3449444944494425,3068.6250974188024,20,0.0011801689024636772,0,0.3055555555555556,11,0.07056230959397444
n4,United States--emigration And Immigration--periodicals.,9,9,4,15.0,6.0,0.31137892376681614,0.3417941794179394,544.0389747832559,20,5.114352634723559E-4,0,0.6666666666666666,4,0.06177686292468223
n6,Deportation--united States.,90,90,43,285.0,6.0,0.3407975460122699,0.3915241524152392,5930.97499253848,0,0.0035729886132950506,0,0.19933554817275748,180,0.33064873425314556
n7,Emigration And Immigration Law--texas.,6,6,6,22.0,7.0,0.315177304964539,0.3491234837769467,490.76179939860333,0,6.195951240303755E-4,0,0.6,9,0.08518539433483586
n8,Aliens--united States.,29,29,12,74.0,6.0,0.3247588424437299,0.3642664266426615,88.81869684723915,0,0.001032472194684995,0,0.5757575757575758,38,0.16111016269373052
n9,Emigration And Immigration Law--united States.,369,369,125,996.0,6.0,0.3905096660808436,0.463846384638461,59459.69358827617,0,0.011266980581764714,0,0.06232258064516129,483,0.6643469593552541
n10,Illegal Aliens--united States.,773,773,247,1920.0,6.0,0.44227707006369427,0.5420342034203428,272705.417808585,0,0.024529872295394776,0,0.02452190513807972,745,1.0
n14,"Illegal Aliens--southwest, New.",4,4,2,4.0,7.0,0.28320163140453736,0.3073571642878562,0.0,0,3.053765912368444E-4,0,1.0,1,0.026434607411175176
n20,"United States--census, 1980.",2,2,1,2.0,7.0,0.3067366096079514,0.33520209163773285,0.0,0,1.8814893896410855E-4,0,0.0,0,0.037990497084496054
n22,"Foreign Workers--legal Status, Laws, Etc.--united States.",48,48,13,116.0,6.0,0.32552007031936714,0.365691569156913,45.46164179281978,0,0.001070162486554686,0,0.6666666666666666,52,0.18170942254442665
n24,Foreign Workers--united States.,117,117,39,326.0,6.0,0.341741002768379,0.3957695769576934,5600.69848979663,0,0.0031682727886665047,0,0.23346828609986506,173,0.3242721612030202
n27,"United States--census, 21st, 1990.",2,2,1,2.0,8.0,0.23513227513227514,0.2481323132313216,0.0,0,2.2572909337064513E-4,0,0.0,0,0.0020076619537193916
n29,"United States--census, 1990.",7,7,5,14.0,7.0,0.30733056708160444,0.3374523166602351,1111.8333333333335,0,7.176159078309309E-4,0,0.4,4,0.04513809596357339
n33,Illegal Aliens--new York (state)--new York--drama.,11,11,9,20.0,8.0,0.24188983235358152,0.26308023659508667,4870.505265929613,5,0.001425427283302153,0,0.2222222222222222,8,0.011258968499100701
n50,Illegal Aliens--political Activity--united States.,5,5,4,11.0,8.0,0.23871938117748173,0.2540879087908776,0.0,57,5.806629526433622E-4,0,1.0,6,0.004678264009002465
n57,Illegal Aliens--employment--united States--congresses.,3,3,3,6.0,1.0,1.0,1.0,0.0,1,6.915629492141307E-4,1,1.0,3,0.0015872356186872661
n58,"Foreign Workers--legal Status, Laws, Etc.--united States--congresses.",2,2,3,6.0,1.0,1.0,1.0,0.0,1,6.915629492141307E-4,1,1.0,3,0.0015872356186872661
n59,Immigration Enforcement--united States--congresses.,2,2,3,6.0,1.0,1.0,1.0,0.0,1,6.915629492141307E-4,1,1.0,3,0.0015872356186872661
n60,Foreign Worker Certification--government Policy--united States--congresses.,2,2,3,6.0,1.0,1.0,1.0,0.0,1,6.915629492141307E-4,1,1.0,3,0.0015872356186872661
n63,Hispanic Americans--social Conditions.,4,4,3,6.0,8.0,0.22733783507264171,0.23772555827011105,0.0,29,4.99309978815655E-4,0,1.0,3,0.0028939012878323287
n65,Hispanic Americans--politics And Government.,4,4,4,8.0,7.0,0.29045751633986927,0.32138142385666923,0.0,22,4.4606487583464204E-4,0,1.0,6,0.055071139454053626
n71,"September 11 Terrorist Attacks, 2001.",6,6,4,8.0,7.0,0.2925994205952067,0.32185289957567015,290.8014276731858,0,4.6696161125897665E-4,0,0.5,3,0.0455168073539287
n75,Documentary Films.,11,11,7,14.0,6.0,0.31357606548123057,0.3451995199519927,222.39454795843548,0,7.327872997277677E-4,0,0.47619047619047616,10,0.07393561064248252
n76,Illegal Aliens.,176,176,94,430.0,6.0,0.3850953206239168,0.4453345334533422,83642.91831680018,2,0.009665091127579588,0,0.055364905056051246,242,0.3482947131781435
n77,Dvd-video Discs.,13,13,7,15.0,6.0,0.32277745496804183,0.3586708670867062,2411.351972314984,0,7.751600214932299E-4,0,0.3333333333333333,7,0.09284125349050117
n86,Large Type Books.,19,19,12,40.0,8.0,0.2393880629174747,0.2701116540225435,99.42619047619044,6,0.0012625161876855407,0,0.3333333333333333,22,0.027714412664886303
n98,Illegal Aliens--mexican-american Border Region--drama.,4,4,4,8.0,9.0,0.19498069498069498,0.20672424385295374,1110.0,5,6.993841180505263E-4,0,0.5,3,0.0030273662142923648
n99,"Foreign Workers, Mexican--mexican-american Border Region--drama.",2,2,3,6.0,9.0,0.1949464818389191,0.20627419884845336,0.0,5,4.936379408314944E-4,0,1.0,3,0.0026365298625508635
n100,Human Smuggling--mexican-american Border Region--drama.,3,3,1,2.0,10.0,0.1631903642773208,0.169686968696868,0.0,5,2.523539369108579E-4,0,0.0,0,6.147735433854645E-4
n101,United States--emigration And Immigration--drama.,8,8,12,30.0,8.0,0.2419425087108014,0.26405533410483767,1716.6928571428573,5,0.001547883978066365,0,0.3787878787878788,25,0.013995246295621207
